City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
386,siwa oasis,29.2041,25.5195,26.58,39,0,2.28,EG,1694846575
387,bandarbeyla,9.4942,50.8122,31.66,51,85,11.86,SO,1694846576
388,undurkhaan,47.3194,110.6556,18.23,34,100,5.79,MN,1694846576
389,senillosa,-39.0,-68.4167,7.88,70,100,8.87,AR,1694846576
390,bojnurd,37.4747,57.329,20.97,46,20,2.06,IR,1694846576
391,necochea,-38.5473,-58.7368,12.03,68,100,4.96,AR,1694846576
392,xilin hot,43.9667,116.0333,27.93,25,13,6.01,CN,1694846577
393,kill devil hills,36.0307,-75.676,20.01,70,0,1.54,US,1694846478
394,azadshahr,34.7909,48.5707,21.27,24,0,2.06,IR,1694846577
395,madera,37.1666,-119.8343,27.35,52,46,0.91,US,1694846390
396,chunskiy,56.0815,99.6342,20.68,33,39,1.83,RU,1694846577
397,riosucio,5.4216,-75.7032,12.51,93,100,0.41,CO,1694846578
398,vershino-darasunskiy,52.35,115.5167,15.69,27,38,2.27,RU,1694846578
399,kruisfontein,-34.0033,24.7314,14.38,49,77,12.04,ZA,1694846578
400,payson,40.0444,-111.7321,17.55,52,0,2.06,US,1694846578
401,istgah-e rah ahan-e garmsar,35.2346,52.3094,28.18,31,0,2.84,IR,1694846579
402,el entrego,43.2875,-5.638,16.35,83,32,2.39,ES,1694846579
403,naryn,41.4287,75.9911,20.49,30,43,6.85,KG,1694846579
404,rathdrum,47.8137,-116.892,16.45,69,0,2.06,US,1694846579
405,arraial do cabo,-22.9661,-42.0278,19.65,80,52,3.97,BR,1694846313
406,balqash,46.8481,74.995,18.33,45,20,3.0,KZ,1694846580
407,rio grande,-32.035,-52.0986,11.08,80,40,5.58,BR,1694846580
408,atar,20.5169,-13.0499,31.91,29,6,3.1,MR,1694846580
409,thames,-37.1333,175.5333,10.59,85,0,1.93,NZ,1694846580
